account,sec_id,position,VWAP_px,MV_trade,px_last,MV_latest,Exposure
70103478,BBG011DHCMK0,1200000000.0,99.9911,119989320000.0,58.50539644057554,70206475728.69064,49782844271.30936
94703303,BBG00XR2K689,-401100712.0,100.72002263718427,-40398872792.43073,14.04429308422448,-5633175955.619115,34765696836.811615
70103478,BBG012128FY9,824060000.0,99.9829,82391908574.0,61.043722421875046,50303689898.97035,32088218675.029648
94703303,BBG00Y259T17,-338250000.0,100.48790655653072,-33990034392.746513,37.7340030799553,-12763526541.79488,21226507850.951633
94162906,BBG00WHMH2P2,-250000000.0,100.0,-25000000000.0,16.144025806097893,-4036006451.524473,20963993548.475525
94219706,BBG012PP9GR7,-345000000.0,99.37261886477462,-34283553508.347244,40.03342383318469,-13811531222.448719,20472022285.898525
94703303,BBG00MGLSYG5,-302500000.0,103.18534070407041,-31213565562.9813,46.082912359761366,-13940080988.827814,17273484574.15349
70103478,BBG012V0RP95,900000000.0,99.9818,89983620000.0,81.21375614283582,73092380528.55223,16891239471.44777
94244704,BBG0115Q7979,-250000000.0,100.0,-25000000000.0,39.77777292600207,-9944443231.500519,15055556768.499481
94242609,BBG012PP9GR7,250000000.0,100.0,25000000000.0,40.03342383318469,10008355958.296173,14991644041.703827
